#{"t_start": 1763829720.7982183, "env_id": "None"}
r,l,t
-100.0,1,1.951314
-100.0,1,2.227006
-100.0,1,2.546906
-100.0,1,2.834759
-100.0,1,3.134566
-100.0,1,3.425468
-100.0,1,3.749974
-100.0,1,4.046008
-100.0,1,4.36713
-100.0,1,4.670885
-100.0,1,4.96576
-100.0,1,5.25275
-100.0,1,5.564224
-100.0,1,5.89978
-100.0,1,6.207796
-100.0,1,6.516471
-100.0,1,6.793913
-100.0,1,7.086185
-100.0,1,7.401863
-100.0,1,7.671155
-100.0,1,7.965203
-100.0,1,8.267631
-100.0,1,8.567497
-100.0,1,8.891561
-100.0,1,9.242315
-100.0,1,9.546624
-100.0,1,9.852921
-100.0,1,10.115499
-100.0,1,10.414668
-100.0,1,10.692001
-100.0,1,10.98152
-100.0,1,11.282651
-100.0,1,11.579271
-100.0,1,11.858412
-100.0,1,12.184034
-100.0,1,12.520235
-100.0,1,12.816943
-100.0,1,13.133509
-100.0,1,13.470173
-100.0,1,13.794546
-100.0,1,14.106845
-100.0,1,14.396541
-100.0,1,14.68572
-100.0,1,15.001341
-100.0,1,15.302098
-100.0,1,15.609426
-100.0,1,15.920007
-100.0,1,16.213235
-100.0,1,16.546056
